Link,Abstrak,Author,Pub,Ed
detail.jsp?id=7424&lokasi=lokal,"Kemampuan manusia dalam pengenalan pola suatu obyek telah mendorong dilakukannya berbagai macam penelitian untuk memungkinkan komputer "" meniru"" kemampuan manusia dalam hal pengenalan pola. Penelitian-penelitian itu telah melahirkan metode-metode pengenalan pola yang dapat dimanfaatkan untuk mengembangkan sistem pengenalan obyek tiga dimensi. Dalam sistem pengenalan obyek tiga dimensi, obyek-obyek yang akan dikenali masing-masing diwakili oleh sejumlah data yang menjadi ciri dari obyek tersebut. Ciri-ciri dari suatu obyek tiga dimensi dapat diperoleh dengan memanfaatkan sejumlah citra acuan dua dimensi dari obyek tersebut. Salah satu metode untuk mengekstrak informasi ciri dari sebuah obyek adalah transformasi Karhunen-Loeve atau principal component analysis (PCA).  Transformasi ini digunakan dalam bidang pengenalan pola dan kompresi citra, untuk meproveksikan sejumlah besar besar data dalam sub ruang data dengan dimensi yang kecil. Hasil ekstraksi ciri dengan menggunakan  transformasi Karhunen-Loeve diolah dengan menggunakan metode Nearest Feature Line dalam proses pengenalan obyek. Metode ini melakukan generalisasi ciri-ciri obyek dengan membentuk garis ciri atau feature line agar dapat menangkap lebih banyak perubahan ciri-ciri yang terjadi diantara dua buah titik ciri obyek tersebut. Dalam tugas akhir ini, akan dikembangkan sebuah system pengenalan obyek tiga dimensi dengan memanfaatkan metode Nearest Feature Line. Hasil uji cobe terhadap sistem pengenalan obyek tiga dimensi dengan menggunakan metode Nearest Feature Line menunjukkan tingkat akurasi yang memuaskan. Sistem dapat memberikan tingkat akurasi hingga 60% untuk objek wajah dan 100% untuk objek komputer grafik sederhana.","Shah, Reza Fatahilah  "," Publisher: Depok: Fasilkom UI, 2000 Call Number: SK-0443(Source Code SK-33) ",Benyamin Kusumoputro
detail.jsp?id=4677&lokasi=lokal,"Pada paper yang berjudul A Geometric Approach to Consistent Classification, Yoram Baram mengusulkan penggunaan pendekatan tetangga dekat (nearest neighbourhood) sebagai salah satu metode klasifikasi. Ada tiga metode klasifikasi yang dibahas yaitu klasifikasi Nearest Neighbourhood, Rduced Nearest Neighbourhood dan Multi Linear Classifier. Paper ini pada jurnal Pattern Recognize (tahun 2000),  halaman 117 - 184, diterbitkan oleh Pergamon. Penulis mencoba mengimplementasikan usulan Yoram Baram tersebut  melakukan klasifikasi citra pada domain spasial dalam domain spektral. Pada tugas akhir ini  penulis juga mengusulakan penggunaan table look up sebagai salah satu metode dalam proses klasifikasi tersebut dengan tujuan untuk mempercepat proses komputasi. Metode tersebut diilhami oleh penerapan yang penulis lakukan pada domain spasial dari metode  yang diusulkan oleh Yoram Baram. Hasil eksperiemen yang dilakukan penulis menunjukkan akurasi klasifikasi geometrik memiliki kompleksitas O(N2) dan kesalahan klasifikasi kurang dari 20; . Nearest Neighbourhood memiliki akurasi paling baik namun kompleksitas paling tinggi sedangkan Multi Linear Classifier sebaliknya. Penerapan pada ciri spektral memberikan hasil  yang lebih baik dari pada penerapan ciri spasial, terutama pada citra dengan detil tinggi. Kompleksitas penerapan ciri spektral adalah O(N) sedangkan pada ciri spasial adalah O(N2).",Arief Setiawan  ," Publisher: Depok : Fasilkom UI, 2002 Call Number: SK-0509 (Source Code SK-72) ",Aniati Murni
detail.jsp?id=4620&lokasi=lokal,"Penilaian disertasi pakar sistem informasi geografi Siti Nurbaya Rusli (Siti, 1997) telah menghasilkan identifikasi daerah-daerah yang dikategorikan sebagai kawasan andalan bagi daerah Lampung. Proes tersebut melibatkan penggunaan alat bantu sistem pakar (expert system). Krisis ekonomi yang kita hadapi telah memberi motivasi untuk mengembangkan kawasan andalan tersebut lebih lanjut bagi pengembangan daerah sentra produksi dengan mangambil komoditi pangan (terdiri dari pertanian, perikanan, dan peternakan) serta agroindustri sebagai komoditi pilihan. Metode-metode yang digunakan dalam mencari daerah pengembangan sentra produksi adalah metode composite terhadap lapis data sistem informasi dan metode rule base. Keduanya menggunakan data kawasan andalan dan data gross margin dari pakar sebagai acuan dan data kesesuaian lahan yang didapatkan dari PT. Peta Bumi Nusantara. Metode composite dilakukan dengan mengambil perpotongan antar peta kawasan andalan dan peta kesesuaian lahan. Sedangkan metode rule base dilakukan dengan menetapkan aturan berupa prasyarat-prasyarat yang sesuai bagi setiap komoditi untuk menjamin keberhasilan pengembannya. Kedua metode tersebut memperlihatkan hasil bahwa hampir semua kawasan andalan sesuai untuk pengembangan sentra produksi terutama untuk komoditi pertanian dan agroindustri. Sedangkan untuk perikanan dan peternakan memperlihatkan hasil bahwa hanya sebagian kecil saja dari kawasan andalan yang sesuai untuk pengembangannya.",Aziefah  ," Publisher: Depok: Fasilkom UI, 2001 Call Number: SK-0450(Source Code SK-41) ",Aniati Murni
detail.jsp?id=44739&lokasi=lokal,"Penerapan Software Product Line dalam Pengembangan Role- playing Game Skripsi ini membahas penerapan Software Product Line (SPL) dalam pengembangan game bergenre RPG (role-playing game). Game yang digunakan sebagai obyek studi kasus dalam skripsi ini adalah Dungeon Crawl Stone Soup. Eksperimen dari penelitian ini dilakukan dengan mengubah struktur source code game dari yang semula tidak menerapkan paradigma berbasis obyek dengan baik menjadi struktur code baru yang menerapkan paradigma berbasis obyek lebih baik agar dapat menerapkan konsep-konsep SPL dengan optimal. Eksperimen dilakukan berdasarkan pada contoh kasus penambahan sebuah entity baru ke dalam game, dan mencoba untuk membuat proses penambahannya lebih efisien.",Fariz Abirafdi Benarto  ," Publisher: Depok: Fakultas Ilmu Komputer, 2016 Call Number: SK-1517 (Softcopy SK-999) ",Ade Azurat
detail.jsp?id=44324&lokasi=lokal,"Penerapan Transfer Learning untuk Peningkatan Performa Training Deep Q-Network pada Permainan Atari 2600 Permainan Atari 2600 telah menjadi salah satu media untuk mempelajari general agent, salah satunya berupa algoritme deep-Q network. Penelitian bertujuan untuk meningkatkan performa training algoritme tersebut dengan menggunakan transfer learning. Hal yang dibagikan adalah bobot neural network yang berasal dari fase training suatu permainan yang dijadikan source task. Berdasarkan penelitian, diketahui bahwa transfer learning antarpermainan yang memiliki kemiripan genre dapat meningkatkan performa training pada permainan yang menjadi target task.",Taufik Ardistyo Wiradarmo  ," Publisher: Depok: Fakultas Ilmu Komputer UI, 2016 Call Number: SK-1507 (Sofcopy SK-989) ",M. Ivan Fanany
detail.jsp?id=43494&lokasi=lokal,"Penerapan Usabilty Testing pada Sistem Cortana dan Google Now Handphone semakin berkembang dan aplikasi yang dimilikinya semakin canggih. Salah satu dari aplikasi tersebut adalah asisten digital pribadi yang memiliki beragam fitur yang dapat membuat penggunanya bisa lebih mudah untuk memaksimalkan penggunaan handphone itu sendiri. Contoh dari asisten digital pribadi yang populer adalah Google Now dan Cortana. Penelitian ini mencoba untuk menggali lebih dalam mengenai Cortana dan Google Now tersebut. Metode yang digunakan untuk penelitian ini adalah Usability Testing, yaitu dengan menggunakan kuesioner dan observasi langsung terhadap pengguna saat pengguna menggunakan sistem tersebut. Metode pengumpulan data melalui dua tahapan, yaitu: (1) Observasi langsung terhadap pengguna untuk melihat secara langsung respon dari sistem terhadap perintah-perintah yang diberikan oleh pengguna. (2) Kuesioner yang diberikan kepada responden setelah melakukan percobaan menggunakan Cortana dan Google Now. Melalui penelitian ini disimpulkan bahwa Google Now unggul di aspek Learnability, dan Errors, sedangkan Cortana unggul di aspek Memorability. Untuk aspek Efficiency dan Satisfaction tidak terdapat perbedaan antara keduanya.",Andreas Hermawan  ," Publisher: Depok: Fakultas Ilmu Komputer UI, 2016 Call Number: SK-1436 (softcopy SK-918) ",Dadan Hardianto
detail.jsp?id=43488&lokasi=lokal,"Penerapan User Experience dalam Pengembangan First Time Customer Experience pada Mobile App Blibli.com First time customer experience sering dianggap remeh oleh berbagai penyedia produk digital maupun nondigital. Pada kenyataannya, first time customer experience justru menjadi kunci yang potensial untuk mengikat customer baru menjadi loyal customer. Penulis menerapkan prinsip user experience dalam pengembangan konsep first time customer experience pada e-commerce (Blibli.com) yang menarik melalui penelitian ini. Di dalamnya, dibahas mengenai solusi-solusi interaktif terkait pengedukasian customer baru dan konsep personal focus yang unik untuk setiap customer, sehingga mendukung first shopping experience mereka di Blibli.com. Konsep yang diajukan dalam penelitian ini divalidasi melalui usability testing dengan metode think-aloud protocol, guna mengetahui apa yang sebenarnya pengguna baru butuhkan saat pertama kali berinteraksi dengan Blibli.com. Hasil akhir dari penelitian ini berupa low-fidelity design dari pengembangan first time customer experience di aplikasi Blibli.com.",Tyas Kusuma Handayani  ," Publisher: Depok: Fakultas Ilmu Komputer, 2016 Call Number: SK-1431 (Softcopy SK-913) ",Harry Budi Santoso
detail.jsp?id=6512&lokasi=lokal,"Berbagai jenis bahasa pemrograman dikenal dalam dunia ilmu komputer. Masing-masing bahasa pemrograman memiliki kelebihan dan kekurangan. Ada bahasa-bahasa pemrograman yang lebih populer dibandingkan bahasa-bahasa lainnya. Namun, apakah popularitas dari suatu bahasa pemrograman berarti perfoma dari bahasa tersebut juga lebih baik? Laporan ini menjelaskan mengenai perbandingan terhadap 2 (dua) jenis bahasa pemrograman. Kedua bahasa pemrograman yang dipakai sebagai studi kasus adalah bahasa pemrograman Fortran dan Java. Bahasa pemrograman Fortran dikenal sebagai bahasa pemrograman yang biasa digunakan dalam pemrograman yang berhubungan dengan komputasi matematika. Sedangkan, bahasa pemrograman Java merupakan bahasa pemrograman yang banyak sekali digunakan oleh para pembuat program komputer di dunia saat ini. Sebuah alat bantu penerjemah kode bahasa pemrograman Fortran menjadi bahasa pemrograman Java dibangun untuk memfasilitasi perbandingan antara kedua bahasa tersebut. Penerjemah akan menerima masukan berupa kode program dalam bahasa Fortran dan menghasilkan sebuah kode program dalam bahasa Java yang memiliki perilaku eksekusi yang serupa. Program-program tersebut akan diteliti performanya dengan mengukur waktu eksekusi yang dibutuhkan oleh masing-masing program. Teori kompilator menjadi landasan teori yang mendasari pengembangan penerjemah kode. Proses penerjemahan berlangsung dalam 4 (empat) tahap. Tahap-tahap tersebut adalah:  1.	Pemrosesan awal (preprocessing), yaitu tahap untuk melakukan penyesuaian-penyesuaian terhadap kode masukan agar pemrosesan pada tahap berikutnya lebih mudah untuk dilakukan. Penyesuaian-penyesuaian tersebut mencakup antara lain: menjaga jumlah maksimum karakter per baris, perubahan seluruh karakter menjadi huruf kecil, dan eliminasi baris kontinuasi. 2.	Analisa leksikal, yaitu proses pengelompokkan karakter-karakter menjadi token-token. Token adalah sederetan karakter dengan panjang satu atau lebih yang memiliki arti tersendiri. Token-token tersebut menjadi masukan bagi proses selanjutnya. 3.	Analisa sintaksis, yaitu proses pencocokan (matching) dari token-token dengan tata bahasa yang telah didefinisikan sebelumnya. Tata bahasa biasanya tersusun atas produksi-produksi yang ditulis dalam notasi context-free grammar (CFG). 4.	Pembentukan kode, yaitu tahap akhir untuk menghasilkan kode keluaran. Tahap ini akan melakukan penerjemahan berdasarkan masing-masing produksi dari tata bahasa.  Implementasi untuk tahap analisa leksikal dilakukan dengan memanfaatkan alat bantu yang disebut dengan JLex. JLex merupakan sebuah utilitas yang digunakan untuk menghasilkan sebuah penganalisa leksikal dalam bahasa pemrograman Java berdasarkan definisi tiap token yang dinyatakan dalam bentuk ekspresi reguler. Sedangkan, implementasi penganalisa sintaksis dilakukan dengan memanfaatkan utilitas Java CUP, yaitu utilitas yang digunakan untuk menghasilkan penganalisa sintaksis dalam bahasa pemrograman Java. Dan dua tahap lainnya diimplementasikan dengan melakukan pemrograman dalam bahasa Java. Pengembangan penerjemah kode menghasilkan 1 buah file JLex, 1 buah file Java CUP, dan 16 file Java.. Satu di antara keenam belas file Java tersebut tidak termasuk ke dalam satu kesatuan aplikasi penerjemah. File tersebut merupakan sebuah file yang harus tersedia ketika hendak melakukan kompilasi terhadap kode keluaran yang dihasilkan oleh penerjemah. Penerjemah kode yang dihasilkan memiliki batasan-batasan tertentu. Tidak semua karakteristik bahasa pemrograman Fortran 77 mampu diterjemahkan ke dalam bahasa pemrograman Java. Penyebab keterbatasan-keterbatasan tersebut antara lain diakibatkan oleh perbedaan yang signifikan antara karakteristik Fortran dengan Java, seperti: akses terhadap lokasi memori dan terdapatnya tipe-tipe variabel yang khusus. Selain itu, ada pula keterbatasan yang diakibatkan oleh penanganan yang memerlukan waktu dan penanganan lebih karena kompleksitas dari karakteristik bahasa tersebut, yaitu penanganan file. Uji coba telah dilakukan terhadap penerjemah kode. Uji coba dilakukan dalam beberapa aspek. Aspek-aspek tersebut antara lain:  1.	Penanganan variabel 2.	Penanganan array 3.	Penanganan kontrol program 4.	Penanganan subprogram function 5.	Penanganan function statement 6.	Penanganan input dari user  Keseluruhan aspek di atas telah diujicobakan. Hasil uji coba menunjukkan bahwa penerjemah telah dapat menerjemahkan aspek-aspek uji coba tersebut dengan baik. Penerjemah mampu menghasilkan kode keluaran dalam bahasa pemrograman Java dan apabila kode-kode tersebut dikompilasi dan dieksekusi, maka perilaku eksekusi yang diperoleh adalah sama dengan eksekusi dari kode-kode masukan. Setelah uji coba, eksperimen diadakan untuk mencapai tujuan dari Tugas Akhir ini. Pelaksanaan eksperimen dilakukan dengan mempersiapkan beberapa kode program dalam bahasa Fortran yang melakukan perhitungan perkalian matriks dengan vektor dan matriks dengan matriks. Kode-kode tersebut diterjemahkan ke dalam bahasa Java dengan memanfaatkan alat bantu penerjemah yang telah diimplementasikan. Kemudian, perbandingan waktu eksekusi dilakukan untuk tiap pasang kode program Fortran dan Java. Hasil yang diperoleh dari eksperimen menunjukkan bahwa eksekusi dari program-program dalam bahasa pemrograman Fortran membutuhkan waktu yang lebih singkat dibandingkan dengan program-program dalam bahasa pemrograman Java. Salah satu faktor yang menyebabkan hal tersebut adalah kurang optimalnya penerjemahan yang dilakukan oleh alat bantu penerjemah, yaitu menghasilkan operasi penjumlahan tambahan pada perhitungan indeks array. Akan tetapi, faktor tersebut bukan menjadi faktor utama karena tidak selarasnya perbedaan waktu eksekusi dengan perbedaan jumlah operasi penjumlahan yang didapatkan pada pelaksanaan eksperimen.",Jimmy  ," Publisher: Depok: Fasilkom UI, 2003 Call Number: SK-0531(Softkopi SK-23) ",Heru Suhartanto
detail.jsp?id=45017&lokasi=lokal,"Pengamanan Transaksi Bitcoin dari Kemungkinan Pendanaan Aksi Terorisme dan Money Laundering. Penelitian ini dilakukan untuk mengetahui bagaimana Pengamanan Transaksi Bitcoin dari Kemungkinan Pendanaan Aksi Terorisme dan Money Laundering dalam sisi regulasi dan sisi sistem. Selain itu, penelitian ini juga ingin menawarkan solusi dalam bentuk usulan regulasi yang dapat diterapkan pemerintah dalam mengembangkan regulasi untuk mengatur bitcoin di Indonesia. Penelitian ini juga menawarkan usulan apa yang harus dilakukan perusahaan bitcoin untuk mengurangi kemungkinan pendanaan aksi terorisme atau money laundering seiring dengan mengembangkan teknologi bitcoin di Indonesia. Penelitian ini menggunakan pendekatan kualitatif dalam mengumpulkan data. Terdapat dua informan yang diwawancarai, satu perwakilan dari bitcoin exchange dan satu lagi perwakilan konsultan hukum. Faktor seperti ketidakjelasan hukum bitcoin di Indonesia, ketidaktahuan mengenai teknologi, perilaku perusahaan bitcoin, dan urgency pemerintah dalam mengatur mempengaruhi resiko pendanaan aksi terorisme dan money laundering. Hasil penelitian ini adalah mengetahui sifat bitcoin yang memungkinkan pendanaan aksi terorisme dan money laundering, usulan mengenai poin yang diatur pada regulasi bitcoin serta usulan mengenai apa yang seharusnya dilakukan oleh perusahaan bitcoin dalam kondisi tidak jelasnya peraturan mengenai pendanaan aksi terorisme dan money laundering pada bitcoin.",Abidzar Gifari  ," Publisher: Depok: Fakultas Ilmu Komputer, 2017 Call Number: SK-1575 (Softcopy SK-1057) ",Setiadi Yazid
detail.jsp?id=43517&lokasi=lokal,"Pengembangan Desain Interaksi Social Question-and-Answer Menggunakan Metode Goal-Directed Design Social question-and-answer (social Q&A) adalah komunitas online tempat pengguna dapat bertanya, menjawab dan berbagi pengetahuan, dan semua data dapat diakses dan dicari secara umum. Platform ini berhasil menarik perhatian banyak pengguna dan menyediakan cara baru untuk mereka dalam mendapatkan informasi dari pengguna lain dalam mencari informasi yang spesifik dan rinci. Namun, perkembangan situs social Q&A masih dibarengi oleh beberapa permasalahan yang dihadapi oleh penggunanya. Penelitian ini dilakukan untuk mengetahui bentuk desain interaksi dari pengembangan produk social Q&A dengan menggunakan metode goal-directed design (GDD). Proses yang dilalui dalam pengembangan yaitu riset, pemodelan, pendefinisian requirement, dan pendefinisian framework. Dari serangkaian proses tersebut dapat dibentuk persona, skenario, requirement, beserta wireframe dari produk. Produk social Q&A yang dikembangkan di dalam penelitian adalah social Q&A untuk bertanya dan berbagi informasi seputar kuliah di luar negeri.",Muhmmad banirahma Syahroni  ," Publisher: Depok: Fakultas Ilmu Komputer UI, 2016 Call Number: SK-1460 (Softcopy SK-942) ",Harry Budi Santoso
detail.jsp?id=46161&lokasi=lokal,"Pengaruh Congruence Iklan Video YouTube terhadap Ads Value, Brand Attachment, dan Intensi untuk Melakukan Pembelian Produk/Jasa    Berkembang pesatnya sosial media di Indonesia, dilihat sebagai peluang yang besar oleh perusahaan untuk memasarkan produk/layanannya. Dalam pemasarannya, salah satu format pengiklanan yang populer dan mulai digunakan adalah video iklan. YouTube adalah salah satu kategori sosial media yang sering dipilih untuk menjadi medium pada pengiklanan format tersebut. Pada penelitian sebelumnya dengan konteks penelitian pada pengiklanan di YouTube, umumya membahas pengaruh nilai dari video iklan terhadap keinginan untuk melakukan pembelian dengan menyertakan beberapa faktor seperti hiburan (entertainment), iritasi (irritation), informatif (informativeness) sebagai antecedent nya. Namun, masih sedikit penelitian yang mendalami penyebab dari faktor tersebut, salah satunya faktor iritasi. Selain itu, juga belum banyaknya penelitian yang menyertakan faktor rasa keterikatan seseorang pada merek (brand attachment) karena video iklan. Oleh karena itu, secara umum penelitian ini bertujuan untuk melihat pengaruh kesesuaian video iklan dengan video yang ditonton terhadap rasa terganggu yang dapat merujuk pada iritasi (iritation). Serta melihat pengaruh faktor hiburan (entertainment), iritasi (irritation), informatif (informativeness), dan insentif (incentive) terhadap nilai iklan (advertising value) dan rasa keterikatan seseorang pada merek (brand attachment) yang dapat mempengaruhi keinginan untuk melakukan pembelian. Metode yang digunakan dalam penelitian ini adalah Structural Equation Modeling (SEM) dengan bantuan tools AMOS versi 22. Berdasarkan hasil penelitian ditemukan, faktor kesesuaian (congruence) memiliki pengaruh terhadap rasa terganggu (intrusiveness) yang dapat mengarah ke iritasi. Faktor iritasi, hiburan, insentif, dan informatif memiliki pengaruh terhadap brand attachment. Sedangkan untuk nilai iklan itu sendiri dipengaruhi oleh semua faktor, kecuali faktor iritasi. Selain itu, nilai dari iklan dan rasa keterikatan terhadap suatu merek dapat mempengaruhi kaingin seseorang dalam melakukan pembelian.",Sarah Yarismal Muthiasari  ," Publisher: Depok: Fakultas Ilmu Komputer Universitas Indonesia, 2018 Call Number: SK-1636 (Softcopy Sk-1118) ",Puspa Indah Sandhiyaduhita
detail.jsp?id=46153&lokasi=lokal,"Pengaruh Implementasi Sistem Informasi Rencana Umum Pengadaan di Indonesia terhadap Performa Personel Pengadaan Pembimbing : 1. Puspa Indahati Sandhyaduhita, S.T., M.Sc.  2. Nur Fitriah Ayuning Budi, S.Kom., M.Kom      Sebagai upaya untuk mempersingkat suplai rantai pengadaan dan meningkatkan efisiensi, efektivitas, dan transparansi proses pengadaan, pemerintah Indonesia menciptakan sistem informasi rencana umum pengadaan (SIRUP) sebagai salah satu bagian dari eprocurement yang digunakan oleh instansi pemerintah di Indonesia. Lembaga Kebijakan Pengadaan barang/jasa Pemerintah (LKPP) merupakan pengelola kebijakan pengadaan yang cukup berhasil dalam mengembangkan SIRUP yang telah digunakan oleh 55 institusi pemerintah dan 133.638 pengguna internal yang tersebar di seluruh Indonesia. Penelitian ini dilakukan untuk menganalisis pengaruh implementasi SIRUP yang dikembangkan oleh LKPP, terhadap performa personel pengadaan  dengan menggunakan model kesuksesan sistem informasi DeLone & McLean, kesesuaian tugas-teknologi (TTF), model penerimaan teknologi (TAM) dan unified theory of acceptance and use of technology (UTAUT). Penelitian ini menjawab pertanyaan tersebut dengan pendekatan partial least square model persamaan struktural yang dilakukan untuk menganalisis data hasil survei terhadap 239 responden. Hasil penelitian menunjukkan bahwa kualitas sistem, kualitas informasi, kualitas layanan, penggunaan, kepuasan pengguna, norma subjektif, karakteristik tugas dan kesesuaian tugas-teknologi terhadap aplikasi SIRUP menjadi faktor yang memengaruhi implementasi SIRUP terhadap performa personel pengadaan. Namun demikian, hanya kesesuaian tugas-teknologi dan kepuasan pengguna yang secara dominan memengaruhi performa personel pengadaan.",Alifiannisa Lawami Diar  ," Publisher: Depok: Fakultas Ilmu Komputer Universitas Indonesia, 2018 Call Number: SK-1624 (Softcopy SK-1106) ",Puspa Indahati Sandhyaduhita
detail.jsp?id=43527&lokasi=lokal,"Pengaruh Interdependent Self-construal terhadap Intention untuk Berpartisipasi pada Photo/Video Contest Campaign di Media Sosial Penelitian ini bertujuan untuk mengetahui bagaimana interdependent self-construal dapat memengaruhi intention seseorang agar berpartisipasi pada photo/video contest campaign di media sosial dengan mengadopsi teori self-construal dan UTAUT. Interdependent self-construal dipilih berdasarkan kecenderungan masyarakat Indonesia yang memiliki tipe self-construal yang interdependent. Faktor penerimaan teknologi juga memiliki peran yang cukup besar dalam menentukan intention untuk menggunakan teknologi sehingga UTAUT dipilih sebagai teori yang mendukung penelitian ini. Responden merupakan warga negara Indonesia yang aktif menggunakan media sosial dan memiliki pengetahuan tentang photo/contest campaign di media sosial. Data diolah menggunakan teknik PLS-SEM. Hasil penelitian menunjukkan bahwa interdependent self-construal memengaruhi intention untuk berpartisipasi melalui ketiga faktor penerimaan teknologi yang diteliti. Dengan mengetahui informasi tersebut, marketers dapat dengan lebih mudah menyusun strategi yang dapat digunakan untuk melakukan social media marketing berupa photo/video contest campaign.",Ghaisani Kusumo W  ," Publisher: Depok: Fakultas Ilmu Komputer UI, 2016 Call Number: SK-1451 (Softcopy SK-933) ",Puspa Indahati Sandhyaduhita
detail.jsp?id=46453&lokasi=lokal,"Skripsi : Pengaruh Justice Theory dan Emotions terhadap Service Recovery Satisfaction pada Pelanggan E-commerce Indonesia Penelitian ini bertujuan untuk mengetahui pengaruh justice theory dan emotions terhadap service recovery satisfaction pada pelanggan e-commerce Indonesia. Sehingga, faktor yang digunakan pada penelitian ini adalah distributive justice, procedural justice, interactional justice, positive emotions, negative emotions, dan service recovery satisfaction. Penelitian ini menggunakan pendekatan kuantitatif dengan melakukan penyebaran kuesioner secara online. Total responden berjumlah 601 data, yaitu pelanggan B2C atau C2C e-commerce Indonesia yang pernah mengajukan komplain minimal satu kali dan mendapat tanggapan minimal satu kali. Data diolah dengan metode covariance-based structural equation modelling. Hasil analisis menunjukkan bahwa distributive justice, procedural justice, interactional justice, dan positive emotions memengaruhi service recovery satisfaction. Hasil penelitian ini diharapkan dapat membantu B2C & C2C e-commerce Indonesia untuk dapat memahami service recovery yang diinginkan oleh pelanggan, sehingga dapat mengimplementasikan service recovery yang seimbang dan memuaskan bagi pelanggan.",Sandya Sekar Murti  ," Publisher: Depok: Fakultas Ilmu Komputer Univeristas Indonesia, 2018 Call Number: SK-1660 (Softcopy SK-1142) ",Putu Wuri Handayani
detail.jsp?id=43495&lokasi=lokal,"Pengaruh Keamanan dan Privasi Terhadap Repurchase Intention Pada Customer-to-Customer (C2C) Electronic Marketplace Penggunaan customer-to-customer (C2C) electronic marketplace semakin luas dewasa ini. Keamanan dan privasi merupakan faktor penting yang dipertimbangkan oleh pelanggan ketika melakukan transaksi pada e-marketplace. Di Indonesia, keamanan merupakan salah satu permasalahan penting yang dialami oleh bisnis online. Hal tersebut juga diperkuat dengan kasus pembobolan akun yang terjadi pada salah satu situs perbelanjaan elektronik terbesar di Indonesia pada April 2016. Faktor-faktor tersebut dapat mempengaruhi keputusan pelanggan untuk melakukan pembelian ulang pada e-marketplace yang sama. Penelitian ini bertujuan untuk mengetahui bagaimana keamanan dan privasi mempengaruhi repurchase intention pada C2C e-marketplace. Data dari 375 responden diperoleh untuk kemudian diolah menggunakan tools SmartPLS 3. Hasil penelitian ini menunjukkan pengaruh keamanan dan privasi terhadap repurchase intention melibatkan customer satisfaction dan customer trust. Keamanan berpengaruh positif terhadap customer satisfaction melalui dimensi confidentiality dan availability dan berpengaruh positif terhadap customer trust melalui dimensi confidentiality. Adapun privasi berpengaruh positif terhadap customer satisfaction melalui dimensi control dan awareness dan tidak berpengaruh positif terhadap customer trust. Selain itu, customer satisfaction terbukti memiliki pengaruh positif terhadap customer trust. Sementara itu, keamanan dan privasi tidak terbukti memiliki pengaruh positif terhadap repurchase intention. Customer satisfaction dan customer trust masing-masing berpengaruh positif terhadap repurchase intention.",Intan K. Utami  , Publisher: Depok: Fakultas Ilmu Komputer Universitas Indonesia Call Number: SK-1437 (Softcopy SK-919) ,Puspa Indahati Sandhyaduhita
detail.jsp?id=44309&lokasi=lokal,"Pengaruh Kualitas Layanan Berbasis Elektronik Terhadap Intensi Seseorang Untuk Menggunakan Layanan Go-Food Dengan Pendekatan Teori Difusi Inovasi. Dewasa ini, perkembangan teknologi berkembang dengan begitu pesat. Hal tersebut ditunjukkan dengan meningkatnya jumlah penggunaan smartphone, sehingga start-up dalam bidang teknologi mulai bermunculan. Terdapat banyak inovasi yang dihasilkan oleh startup, salah satunya adalah Go-Food. Go-Food merupakan sebuah layanan yang terdapat di dalam aplikasi Go-Jek yang menyediakan layanan pesan antar makanan untuk berbagai restoran, sehingga memudahkan konsumen untuk dapat melakukan pemesanan makanan dan minuman tanpa harus datang ke restoran tersebut. Penelitian ini mengintegrasikan faktor e-service quality dengan IDT untuk memprediksi intensi seseorang untuk menggunakan layanan Go-Food. Model penelitian ini dianalisis dengan pendekatan partial least square terhadap 1,347 responden menggunakan tools SmartPLS 3.0. Hasil analisis menunjukkan bahwa relative advantage, compatibility, dan complexity berpengaruh signifikan terhadap intention to use. Relative advantage dipengaruhi secara signifikan oleh apps quality, delivery arrangement, dan merchant quality. Compatibility dipengaruhi secara signifikan oleh customer relationship, delivery arrangement, dan merchant quality. Complexity dipengaruhi secara signifikan oleh delivery arrangement, customer relationship, dan app quality.",Fauzan Majid  ," Publisher: Depok: Fakultas Ilmu Komputer UI, 2016 Call Number: SK-1513 (Softcopy SK-995) ",Achmad Nizar Hidayanto
detail.jsp?id=43481&lokasi=lokal,"Pengaruh Kualitas Layanan dan Kepuasan Pelanggan terhadap Minat Beli Ulang pada Situs Mobile Commerce Pertumbuhan pengguna perangkat mobile menyebabkan adanya peningkatan pada pembelian barang melalui smartphone dibandingkan perangkat elektronik lainnya. Meskipun begitu, hanya satu dari lima pengguna yang melakukan pembelian ulang. Minat dalam melakukan pembelian ulang dapat dipengaruhi oleh beberapa faktor, diantaranya yaitu kualitas layanan dan kepuasan pelanggan. Kesuaian antara hal yang diharapkan dengan hal yang didapatkan akan memberikan kepuasan, sehingga dapat menghasilkan minat beli ulang di waktu yang akan datang. Untuk itu, penulis meneliti pengaruh kualitas layanan dan kepuasan konsumen terhadap minat beli ulang pada situs mobile commerce atau biasa disebut dengan m-commerce. Data responden yang terkumpul berjumlah 796 yang diolah dengan teknik analisis Structural Equation Modeling (SEM) menggunakan SmartPLS. Hasil penelitian ini menunjukkan bahwa terdapat empat faktor, yaitu service delivery: human element, service delivery: non-human element, service environment, dan social responsibility yang terbukti memengaruhi kualitas layanan yang kemudian memengaruhi kepuasan konsumen dan minat beli ulang secara positif pada situs m-commerce.",Natan Sagari Maris  ," Publisher: Depok: Fakultas Ilmu Komputer, 2016 Call Number: SK-1426 (Softcopy SK-908) ",Muhammad Rifki Shihab
